state_fips,county_fips,year,race,age_adjusted_rate,weight
1,1,2017,0,4856.2,0
1,1,2016,0,4967.3,235.4060322081828
1,1,2015,0,5118.4,234.59539637426818
1,1,2014,0,4651.3,234.47174669882938
1,1,2013,0,5460,234.07691043757393
1,1,2012,0,5863.1,234.57834512162455
1,1,2011,0,4919.9,235.06382112098834
1,1,2010,0,5153.6,233.97008355770615
1,1,2009,0,4931.7,232.66929320389488
1,1,2008,0,5704.7,230.81811020801638
1,1,2007,0,5145.9,228.9213838853854
1,1,2006,0,6168,226.55683613610074
1,1,2005,0,6686.2,222.8811342397557
1,1,2004,0,5492.7,219.92271369733504
1,1,2003,0,6016.6,216.33307652783935
1,1,2002,0,6128.5,214.26385602802915
1,1,2001,0,6248.3,211.87024330943692
1,1,2000,0,6189,209.8118204487059
1,1,1999,0,6607.2,207.27517941133232
1,3,2017,0,4443.2,0
1,3,2016,0,4047.5,456.6869825164716
1,3,2015,1,4456.3,451.32028538500236
1,3,2014,1,4222.2,446.92840589964743
1,3,2013,1,4623.1,441.75445668380075
1,3,2012,1,4316.1,436.3519221912515
1,3,2011,0,4634.8,432.03356351098466
1,3,2010,0,4687,428.017523005776
1,3,2009,0,4576.6,423.56345451419674
1,3,2008,0,4733.6,419.3173022902823
1,3,2007,0,4828.1,415.21560664310294
1,3,2006,0,4916.5,410.0256089563187
1,3,2005,0,4884.5,401.21066785418355
1,3,2004,0,4978.8,395.30494557999145
1,3,2003,0,5051.1,389.24157023627373
1,3,2002,0,5011.6,384.6517905846793
1,3,2001,0,5078.1,380.6244868633651
1,3,2000,0,4938.9,375.9547845153723
1,3,1999,0,4852.7,370.8840789249385
1,5,2017,0,5149.5,0
1,5,2016,0,4265.7,161.13658802394943
1,5,2015,0,5175.5,162.08022704821215
1,5,2014,0,5231.7,163.59400967028103
1,5,2013,0,4936.4,164.12799883018133
1,5,2012,0,5348.1,164.71794073506382
1,5,2011,0,5666.4,165.30577727351212
1,5,2010,0,5471,165.37230723431296
1,5,2009,0,5394.4,166.3039386184224
1,5,2008,0,4321.1,166.75730868540666
1,5,2007,0,4531.5,166.6043216726385
1,5,2006,0,5901.4,166.91614661260306
1,5,2005,0,6316,167.4126637981727
1,5,2004,0,5357.7,168.18739548491735
1,5,2003,0,5733.2,169.09760495051373
1,5,2002,0,6281.1,169.27197050900068
1,5,2001,0,5887.9,169.89114161721324
1,5,2000,0,5687.2,170.3378994821763
1,5,1999,0,5254.6,169.8999705709215
1,7,2016,0,4874.8,150.4759116935332
1,7,2015,0,5232.7,150.2031957050182
1,7,2014,0,4984.7,150.03666218628032
1,7,2013,0,5325.1,150.00333329629711
1,7,2012,0,6235,150.48255712872506
1,7,2011,0,5983.1,150.78461459976612
1,7,2010,0,5317,151.19854496654392
1,7,2009,0,5228.4,151.46286673637206
1,7,2008,0,6158.5,150.68178390236824
1,7,2007,0,5305.8,149.79319076646976
1,7,2006,0,5577.1,148.6573240711671
1,7,2005,0,6029.7,148.4654842042419
1,7,2004,0,6028.6,147.38046003456498
1,7,2003,0,6323.9,146.28397041371278
1,7,2002,0,5508,145.59876373101525
1,7,2001,0,5510.1,145.01034445859372
1,7,2000,0,5111.4,141.1134295522577
1,7,1999,0,6086.3,143.38758663147937
1,9,2016,0,5372.5,240.21656895393374
1,9,2015,0,4853.2,240.15828113975167
1,9,2014,0,4835.9,240.04374601309655
1,9,2013,0,4714.9,240.30397416605493
1,9,2012,0,5071.2,240.35806622620345
1,9,2011,0,5487.5,240.22281323804364
1,9,2010,0,5199.7,239.53287874527788
1,9,2009,0,5366.6,239.459808736247
1,9,2008,0,5232.6,238.861884778631
1,9,2007,0,5533.3,237.1497417245062
1,9,2006,0,5592.6,235.55254190944322
1,9,2005,0,5582,233.71777852786468
1,9,2004,0,5426.2,232.64565330132433
1,9,2003,0,6244.5,231.20769883375425
1,9,2002,0,6155.3,229.2400488570878
1,9,2001,0,5401.6,227.69497139814047
1,9,2000,0,5073.5,226.068573667372
1,9,1999,0,5623.2,224.13611935607344
1,11,2016,0,5849.5,101.79390944452423
1,11,2015,0,5246.6,102.24969437607136
1,11,2014,0,4828.8,103.49879226348489
1,11,2013,0,5418.8,102.83968105745953
1,11,2012,0,4712,103.21821544669332
1,11,2011,0,5839,103.54709073653397
1,11,2010,0,5753.1,104.36474500519799
1,11,2009,0,4506.1,104.81889142707053
1,11,2008,0,4562.4,104.65658125507444
1,11,2007,0,5354.9,104.93331215586402
1,11,2006,0,5924.1,103.80751417888784
1,11,2005,0,5296.8,104.93331215586402
1,11,2004,0,6114.5,105.14751542475932
1,11,2003,0,5174.6,106.3766891757776
1,11,2002,0,5951.3,106.09429767899876
1,11,2001,0,5175.4,106.57391800998967
1,11,2000,0,6074.1,107.61505470890214
1,11,1999,0,5835.2,108.42047777057617
1,13,2017,0,4238.9,0
1,13,2016,0,4730.7,141.4142849927121
1,13,2015,0,4621.7,141.86613408421334
1,13,2014,0,5287.2,142.41839768793918
1,13,2013,0,4675.4,142.5833089811006
1,13,2012,0,5129.7,143.75326083258076
1,13,2011,0,5693.8,144.38836518224036
1,13,2010,0,5705.3,144.69968901141425
1,13,2009,0,4356.2,144.45414497341363
1,13,2008,0,5397.5,144.73769377739856
1,13,2007,0,5032.7,144.54757002454244
1,13,2006,0,5543.9,144.27404478976806
1,13,2005,0,5427.9,144.32601983010548
1,13,2004,0,5901.2,144.46452851824907
1,13,2003,0,6045.4,144.33641259224922
1,13,2002,0,5960.2,144.23245127224317
1,13,2001,0,6113.1,145.3925720248459
