state,county,percent_high_conditional_tested,ihs_bll,race,year,weight,unemp_rate,median_income,percent_non_white,lead_emitted,ap,state_county
1,1,0.7518796920776367,0.6946502327919006,0,2015,11.532562255859375,0.052000000000000005,56580,0.212537482380867,4650,64263,1
1,1,0,0,0,2014,5.385164737701416,0.059000000000000004,54366,0.20721392333507538,4750.090000003576,0,1
1,1,0,0,0,2013,4.4721360206604,0.062,51868,0.20530369877815247,4835,55932,1
1,1,0,0,0,2012,3.1622776985168457,0.069,51441,0.20299126207828522,4512.86400000006,0,1
1,1,0,0,0,2011,6,0.083,48863,0.1995113492012024,4929.155000001192,0,1
1,1,0,0,0,2010,13.379088401794434,0.08900000000000001,53049,0.19822074472904205,5058.141000002623,0,1
1,1,1.1428571939468384,0.9788708686828613,0,2009,13.22875690460205,0.09699999999999999,53081,0.1979495733976364,4826.550000011921,0,1
1,1,0.54347825050354,0.5197581052780151,0,2008,13.56466007232666,0.051,51622,0.19627606868743896,4454.899999856949,0,1
1,1,0.6097561120986938,0.5771726965904236,0,2007,12.806248664855957,0.033,50375,0.19433259963989258,4671.670000016689,0,1
1,1,4.44444465637207,2.1972246170043945,0,2006,6.7082037925720215,0.033,46491,0.19250701367855072,4951,76206,1
1,1,2,1.4436354637145996,0,2005,12.247448921203613,0.038,45019,0.1897294521331787,6012,73871,1
1,3,0,0,1,2015,16.18641471862793,0.055,52387,0.11664293706417084,63.68860000371933,193909,2
1,3,0.5602241158485413,0.534419596195221,1,2014,18.89444351196289,0.062,49626,0.1169140636920929,96.83799999952316,180350,2
1,3,0,0,1,2013,12.767145156860352,0.066,47539,0.11603047698736191,43.378000020980835,169242,2
1,3,1.408450722694397,1.1428841352462769,1,2012,8.426149368286133,0.075,48867,0.1157439723610878,88.9060999751091,166313,2
1,3,0.6369426846504211,0.600243866443634,0,2011,12.529964447021484,0.09,50144,0.11439944803714752,85.94800001382828,145239,2
1,3,0,0,0,2010,15.748015403747559,0.1,47618,0.11452027410268784,109,150997,2
1,3,0.35211268067359924,0.34521496295928955,0,2009,16.852298736572266,0.098,48637,0.11412661522626877,129.80000001192093,142561,2
1,3,0.6622516512870789,0.6214678883552551,0,2008,17.37814712524414,0.046,51957,0.11325905472040176,101.80000019073486,163366,2
1,3,0.5,0.4812118113040924,0,2007,14.142135620117188,0.031,49163,0.1129034161567688,121.59999990463257,149976,2
1,3,2.777777671813965,1.7457282543182373,0,2006,8.485280990600586,0.032,45493,0.11304358392953873,152.33599971234798,159867,2
1,3,2.5316455364227295,1.6589202880859375,0,2005,12.569805145263672,0.04,42804,0.11373548209667206,90.132000382989645,165976,2
1,5,4.761904716491699,2.2646420001983643,0,2015,4.582575798034668,0.08900000000000001,31433,0.49802055954933167,107.07000306248665,98269,3
1,5,4.34782600402832,2.175793170928955,0,2014,4.795831680297852,0.106,34971,0.496581107378006,151.0500042438507,0,3
1,5,0,0,0,2013,2.8284270763397217,0.10300000000000001,30981,0.49662187695503235,0.12999999523162842,100294,3
1,5,0,0,0,2012,2.6457512378692627,0.115,30287,0.49229690432548523,0.12999999523162842,106849,3
1,5,0,0,0,2010,5.74456262588501,0.12300000000000001,33074,0.48888400197029114,1.1799999475479126,114399,3
1,5,3.896103858947754,2.0692009925842285,0,2009,8.774964332580566,0.14300000000000002,28802,0.4874715209007263,1.3600000143051147,104030,3
1,5,2.25563907623291,1.5524457693099976,0,2008,11.532562255859375,0.08800000000000001,30896,0.4855796992778778,2.3399999141693115,128173,3
1,5,0,0,0,2007,9.797959327697754,0.063,30370,0.4855351746082306,2.25,136897,3
1,5,0,0,0,2006,4.582575798034668,0.057,28692,0.484620064496994,2.2899999618530273,125377,3
1,5,3.125,1.8572508096694946,0,2005,5.656854152679443,0.057999999999999996,29534,0.48421165347099304,2.440000057220459,123326,3
1,7,0,0,0,2015,7.348469257354736,0.066,40767,0.23070785403251648,63.75,13588,4
1,7,0,0,0,2014,6.4031243324279785,0.07200000000000001,39546,0.2272222489118576,63.540000915527344,14552,4
1,7,0,0,0,2013,4.4721360206604,0.079,39781,0.22745655477046967,65.63999938964844,11495,4
1,7,0,0,0,2012,4.582575798034668,0.086,37392,0.2271583080291748,54.79999923706055,10453,4
1,7,1.5625,1.228939414024353,0,2011,8,0.105,37347,0.22805242240428925,0,12027,4
1,7,0,0,0,2010,11.180339813232422,0.114,35472,0.22916758060455322,0,11494,4
1,7,0,0,0,2009,10.630146026611328,0.133,38294,0.23002484440803528,0,10943,4
1,7,1.2738853693008423,1.0624276399612427,0,2008,12.529964447021484,0.057999999999999996,41076,0.22920061647891998,0,11918,4
1,7,1.2738853693008423,1.0624276399612427,0,2007,12.529964447021484,0.040999999999999995,38907,0.22519832849502563,62.72999906539917,13932,4
1,7,0,0,0,2006,6.480740547180176,0.042,36794,0.22661659121513367,79.51000213623047,14817,4
1,7,0,0,0,2005,12.529964447021484,0.045,34212,0.22697576880455017,76.4900016784668,12216,4
1,9,0.44052863121032715,0.4273972809314728,0,2015,15.066518783569336,0.054000000000000006,50487,0.030133850872516632,0,34966,5
1,9,0,0,0,2014,15.81138801574707,0.062,45567,0.029416358098387718,0,0,5
1,9,0,0,0,2013,14.73091983795166,0.063,44392,0.02956048958003521,0,37389,5
1,9,0,0,0,2012,8.366600036621094,0.069,44225,0.028629785403609276,0,39264,5
1,9,0,0,0,2011,7.416198253631592,0.087,41940,0.026981128379702568,0,40599,5
1,9,1.6949152946472168,1.2982394695281982,0,2010,7.681145668029785,0.098,42906,0.02630019560456276,0,40318,5
